No,Tahun,Kode Provinsi,Provinsi,Kelompok Bahan Pangan,Komoditas,Konsumsi_Pangan,
79,2018,13,Sumatera Barat,Pangan Hewani,Pangan Hewani,42.9,
80,2018,13,Sumatera Barat,Pangan Hewani,Daging ruminansia,4.8,
81,2018,13,Sumatera Barat,Pangan Hewani,Daging Unggas,7.6,
82,2018,13,Sumatera Barat,Pangan Hewani,Telur,8,
83,2018,13,Sumatera Barat,Pangan Hewani,Susu,2.3,
84,2018,13,Sumatera Barat,Pangan Hewani,Ikan,20.2,
85,2018,13,Sumatera Barat,Minyak dan Lemak,Minyak dan Lemak,11.4,
86,2018,13,Sumatera Barat,Minyak dan Lemak,Minyak Kelapa,0.8,
87,2018,13,Sumatera Barat,Minyak dan Lemak,Minyak Sawit,10.3,
88,2018,13,Sumatera Barat,Minyak dan Lemak,Minyak Lainnya,0.3,
89,2018,13,Sumatera Barat,Buah/biji berminyak,Buah/biji berminyak,4.5,
90,2018,13,Sumatera Barat,Buah/biji berminyak,Kelapa,4.5,
91,2018,13,Sumatera Barat,Buah/biji berminyak,Kemiri,0,
92,2018,13,Sumatera Barat,Kacang-kacangan,Kacang-kacangan,5.4,
93,2018,13,Sumatera Barat,Kacang-kacangan,Kedelai,4.6,
94,2018,13,Sumatera Barat,Kacang-kacangan,Kacang tanah,0.2,
95,2018,13,Sumatera Barat,Kacang-kacangan,Kacang hijau,0.5,
96,2018,13,Sumatera Barat,Kacang-kacangan,Kacang lain,0.1,
97,2018,13,Sumatera Barat,Gula,Gula,7.6,
98,2018,13,Sumatera Barat,Gula,Gula pasir,7,
99,2018,13,Sumatera Barat,Gula,Gula merah,0.6,
100,2018,13,Sumatera Barat,Sayuran dan buah,Sayuran dan buah,76.9,
101,2018,13,Sumatera Barat,Sayuran dan buah,Sayur,48.9,
102,2018,13,Sumatera Barat,Sayuran dan buah,Buah,28,
103,2018,14,Riau,Padi-Padian,Padi-padian,104.9,
104,2018,14,Riau,Padi-Padian,Beras,89.4,
105,2018,14,Riau,Padi-Padian,Jagung,0.4,
106,2018,14,Riau,Padi-Padian,Terigu,15.1,
107,2018,14,Riau,Umbi-umbian,Umbi-umbian,14.9,
108,2018,14,Riau,Umbi-umbian,Singkong,7.7,
109,2018,14,Riau,Umbi-umbian,Ubi Jalar,1.3,
110,2018,14,Riau,Umbi-umbian,Kentang,5.2,
111,2018,14,Riau,Umbi-umbian,Sagu,0.2,
112,2018,14,Riau,Umbi-umbian,Umbi Lainnya,0.5,
113,2018,14,Riau,Pangan Hewani,Pangan Hewani,53.3,
114,2018,14,Riau,Pangan Hewani,Daging ruminansia,5,
115,2018,14,Riau,Pangan Hewani,Daging Unggas,9.6,
116,2018,14,Riau,Pangan Hewani,Telur,8.6,
117,2018,14,Riau,Pangan Hewani,Susu,3.2,
118,2018,14,Riau,Pangan Hewani,Ikan,26.9,
119,2018,14,Riau,Minyak dan Lemak,Minyak dan Lemak,12.6,
120,2018,14,Riau,Minyak dan Lemak,Minyak Kelapa,0.9,
121,2018,14,Riau,Minyak dan Lemak,Minyak Sawit,11.3,
122,2018,14,Riau,Minyak dan Lemak,Minyak Lainnya,0.4,
123,2018,14,Riau,Buah/biji berminyak,Buah/biji berminyak,2.8,
124,2018,14,Riau,Buah/biji berminyak,Kelapa,2.6,
125,2018,14,Riau,Buah/biji berminyak,Kemiri,0.2,
126,2018,14,Riau,Kacang-kacangan,Kacang-kacangan,5.8,
127,2018,14,Riau,Kacang-kacangan,Kedelai,5.2,
128,2018,14,Riau,Kacang-kacangan,Kacang tanah,0.3,
129,2018,14,Riau,Kacang-kacangan,Kacang hijau,0.2,
130,2018,14,Riau,Kacang-kacangan,Kacang lain,0.1,
131,2018,14,Riau,Gula,Gula,9.3,
132,2018,14,Riau,Gula,Gula pasir,9,
133,2018,14,Riau,Gula,Gula merah,0.3,
134,2018,14,Riau,Sayuran dan buah,Sayuran dan buah,74.5,
135,2018,14,Riau,Sayuran dan buah,Sayur,47.7,
136,2018,14,Riau,Sayuran dan buah,Buah,26.8,
137,2018,15,Jambi,Padi-Padian,Padi-padian,109.4,
138,2018,15,Jambi,Padi-Padian,Beras,92.1,
139,2018,15,Jambi,Padi-Padian,Jagung,0.3,
140,2018,15,Jambi,Padi-Padian,Terigu,17,
141,2018,15,Jambi,Umbi-umbian,Umbi-umbian,18,
142,2018,15,Jambi,Umbi-umbian,Singkong,9.6,
143,2018,15,Jambi,Umbi-umbian,Ubi Jalar,2.1,
144,2018,15,Jambi,Umbi-umbian,Kentang,5.9,
145,2018,15,Jambi,Umbi-umbian,Sagu,0.1,
146,2018,15,Jambi,Umbi-umbian,Umbi Lainnya,0.3,
147,2018,15,Jambi,Pangan Hewani,Pangan Hewani,45.4,
148,2018,15,Jambi,Pangan Hewani,Daging ruminansia,4.4,
149,2018,15,Jambi,Pangan Hewani,Daging Unggas,8.3,
150,2018,15,Jambi,Pangan Hewani,Telur,7.1,
151,2018,15,Jambi,Pangan Hewani,Susu,2.8,
